College Name,City,Primary Conference,Latitude,Longitude
The George Washington University,Washington,Atlantic 10 Conference,38.8994972,-77.0482121
The Ohio State University,Columbus,Big Ten Conference,40.0056802,-83.0286612
The Ohio University,Athens,Mid-American Conference,40.7655533,-83.8335623
The Pennsylvania State University,University Park,Big Ten Conference,39.8905838,-75.1712184
The University of Akron,Akron,Mid-American Conference,41.0717825,-81.5093151
The University of Alabama,Tuscaloosa,Southeastern Conference,33.2109652,-87.5172922
The University of Mississippi,University,Southeastern Conference,34.3642949,-89.5253801
The University of New Mexico,Albuquerque,Mountain West Conference,35.079682,-106.5263425
The University of Tennessee at Chattanooga,Chattanooga,Southern Conference,,
The University of Tennessee at Martin,Martin,Ohio Valley Conference,36.3440651,-88.8656733
"The University of Tennessee, Knoxville",Knoxville,Southeastern Conference,35.9544426,-83.9258929
The University of Texas at Arlington,Arlington,Western Athletic Conference,32.7284713,-97.1120213
The University of Texas at Austin,Austin,Southeastern Conference,,
The University of Texas at El Paso,El Paso,Conference USA,31.7757048,-106.5062875
The University of Texas Rio Grande Valley,Edinburg,Southland Conference,25.8958142,-97.4881916
The University of Texas at San Antonio,San Antonio,American Conference,29.5833311,-98.6194451
The University of Tulsa,Tulsa,American Conference,,
The University of Vermont,Burlington,America East Conference,44.4296199,-73.2055526
Towson University,Towson,Coastal Athletic Association,39.3869768,-76.6185804
Troy University,Troy,Sun Belt Conference,31.8022234,-85.9556867
Tulane University,New Orleans,American Conference,29.9412196,-90.1201009
United States Air Force Academy,USAF Academy,Mountain West Conference,38.9912381,-104.8588346
United States Military Academy,West Point,Patriot League,41.3926455,-73.9599242
United States Naval Academy,Annapolis,Patriot League,38.9819343,-76.4821709
University of Alabama at Birmingham,Birmingham,American Conference,33.5016153,-86.8060476
University of Arizona,Tucson,Big 12 Conference,32.235681,-110.951744
University of Arkansas,Fayetteville,Southeastern Conference,36.0970389,-94.1703322
University of Arkansas at Little Rock,Little Rock,Ohio Valley Conference,34.7223681,-92.3383026
University of Arkansas at Pine Bluff,Pine Bluff,Southwestern Athletic Conference,34.2510901,-92.0289102
"University of California, Berkeley",Berkeley,Atlantic Coast Conference,33.6487724,-117.8364995
"University of California, Davis",Davis,Big West Conference,38.5337904,-121.7907544
"University of California, Irvine",Irvine,Big West Conference,33.6429469,-117.8401606
"University of California, Los Angeles",Los Angeles,Big Ten Conference,34.0198321,-118.2780639
"University of California, Riverside",Riverside,Big West Conference,33.9702033,-117.3320289
"University of California, San Diego",La Jolla,Big West Conference,32.7545686,-117.1478549
"University of California, Santa Barbara",Santa Barbara,Big West Conference,34.4146025,-119.84581
University of Central Arkansas,Conway,Atlantic Sun Conference,35.0776411,-92.4579926
University of Central Florida,Orlando,Big 12 Conference,28.599591,-81.1971284
University of Cincinnati,Cincinnati,Big 12 Conference,39.1294152,-84.5205018
University of Colorado Boulder,Boulder,Big 12 Conference,40.0070061,-105.2664423
University of Connecticut,Storrs,Big East Conference,41.8111114,-72.2483889
University of Dayton,Dayton,Atlantic 10 Conference,39.7383807,-84.1791678
University of Delaware,Newark,Conference USA,39.6802837,-75.7530984
University of Denver,Denver,Summit League,39.6766157,-104.9623745
University of Detroit Mercy,Detroit,Horizon League,42.4140319,-83.1378601
University of Evansville,Evansville,Missouri Valley Conference,37.9735131,-87.5322977
University of Florida,Gainesville,Southeastern Conference,29.6411884,-82.3562296
University of Georgia,Athens,Southeastern Conference,33.9404278,-83.373049
University of Hawaiʻi at Mānoa,Honolulu,Big West Conference,21.2982795,-157.8186932
University of Houston,Houston,Big 12 Conference,29.7207902,-95.3440627
University of Idaho,Moscow,Big Sky Conference,46.7237978,-117.020439
University of Illinois Chicago,Chicago,Missouri Valley Conference,41.8689223,-87.6485848
University of Illinois Urbana-Champaign,Urbana,Big Ten Conference,40.0761545,-88.2233134
University of Kansas,Lawrence,Big 12 Conference,38.9535052,-95.263093
University of Kentucky,Lexington,Southeastern Conference,38.0266291,-84.5047222
University of Louisiana at Lafayette,Lafayette,Sun Belt Conference,30.2117256,-92.0195772
University of Louisiana at Monroe,Monroe,Sun Belt Conference,32.5318286,-92.0658112
University of Louisville,Louisville,Atlantic Coast Conference,38.2133224,-85.7577075
University of Maine,Orono,America East Conference,44.9015188,-68.6617222
"University of Maryland, Baltimore County",Catonsville,America East Conference,39.252377,-76.7089181
"University of Maryland, College Park",College Park,Big Ten Conference,38.9784587,-76.9282678
University of Maryland Eastern Shore,Princess Anne,Mid-Eastern Athletic Conference,38.2140373,-75.6828765
University of Massachusetts Amherst,Amherst,Mid-American Conference,42.3893259,-72.5283614
University of Massachusetts Lowell,Lowell,America East Conference,42.6519097,-71.3173628
University of Memphis,Memphis,American Conference,43.6746538,-79.3890069
University of Miami,Coral Gables,Atlantic Coast Conference,25.7172725,-80.2787069
University of Michigan,Ann Arbor,Big Ten Conference,42.2942142,-83.7100389
University of Minnesota,Minneapolis,Big Ten Conference,44.9863418,-93.1794451
University of Missouri–Columbia,Columbia,Southeastern Conference,38.9364147,-92.329703
University of Missouri–Kansas City,Kansas City,Summit League,39.0342326,-94.5780133
University of Montana,Missoula,Big Sky Conference,46.8541841,-113.9655283
University of Nebraska–Lincoln,Lincoln,Big Ten Conference,40.8305567,-96.6697373
University of Nebraska Omaha,Omaha,Summit League,41.2577933,-96.0104971
"University of Nevada, Las Vegas",Paradise,Mountain West Conference,36.1761198,-115.1569554
"University of Nevada, Reno",Reno,Mountain West Conference,39.5442688,-119.8163105
University of New Hampshire,Durham,America East Conference,43.1350987,-70.9462079
University of New Orleans,New Orleans,Southland Conference,30.0283526,-90.0668428
University of North Alabama,Florence,Atlantic Sun Conference,34.8075226,-87.6816129
University of North Carolina at Asheville,Asheville,Big South Conference,,
University of North Carolina at Chapel Hill,Chapel Hill,Atlantic Coast Conference,35.9050354,-79.0477533
University of North Carolina at Charlotte,Charlotte,American Conference,,
University of North Carolina at Greensboro,Greensboro,Southern Conference,36.0679595,-79.8103669
University of North Carolina at Wilmington,Wilmington,Coastal Athletic Association,34.2249827,-77.8690774
University of North Dakota,Grand Forks,Summit League,47.9265412,-97.0721209
University of Northern Colorado,Greeley,Big Sky Conference,40.4028503,-104.7017242
University of Northern Iowa,Cedar Falls,Missouri Valley Conference,42.5149569,-92.4629522
University of North Florida,Jacksonville,Atlantic Sun Conference,30.2689865,-81.5096561
University of North Texas,Denton,American Conference,33.2098926,-97.1514762
University of Notre Dame,Notre Dame,Atlantic Coast Conference,41.7045678,-86.2382203
University of Oklahoma,Norman,Southeastern Conference,35.1959878,-97.4457083
University of Oregon,Eugene,Big Ten Conference,44.0444197,-123.0717603
University of Pennsylvania,Philadelphia,Ivy League,39.9503945,-75.1946713
University of Pittsburgh,Pittsburgh,Atlantic Coast Conference,40.444153,-79.962461
University of Portland,Portland,West Coast Conference,45.5736806,-122.7282878
University of Rhode Island,Kingston,Atlantic 10 Conference,41.4875095,-71.5343138
University of Richmond,Richmond,Atlantic 10 Conference,37.5758797,-77.5412837
University of Saint Thomas,Saint Paul,Summit League,29.7368368,-95.3941719
University of San Diego,San Diego,West Coast Conference,32.7726302,-117.1891347
University of San Francisco,San Francisco,West Coast Conference,37.7793627,-122.4514473
University of South Alabama,Mobile,Sun Belt Conference,30.6972412,-88.1892334
University of South Carolina,Columbia,Southeastern Conference,33.9928841,-81.0268676
University of South Carolina Upstate,Spartanburg,Big South Conference,35.0003217,-81.970885
University of South Dakota,Vermillion,Summit League,42.7913704,-96.9254235
University of Southern California,Los Angeles,Big Ten Conference,34.021869,-118.2858579
University of Southern Indiana,Evansville,Ohio Valley Conference,37.9584686,-87.6742032
University of Southern Mississippi,Hattiesburg,Sun Belt Conference,31.3286452,-89.3367312
University of South Florida,Tampa,American Conference,28.0599999,-82.4138362
University of the Incarnate Word,San Antonio,Southland Conference,29.4688466,-98.4691039
University of the Pacific,Stockton,West Coast Conference,37.9804237,-121.3128472
University of Toledo,Toledo,Mid-American Conference,34.1966609,-117.3483533
University of Utah,Salt Lake City,Big 12 Conference,40.7628137,-111.8368719
University of Virginia,Charlottesville,Atlantic Coast Conference,38.0410576,-78.5055084
University of Washington,Seattle,Big Ten Conference,47.6554303,-122.3001692
University of Wisconsin–Green Bay,Green Bay,Horizon League,44.526527,-87.9073466
University of Wisconsin–Madison,Madison,Big Ten Conference,43.0802745,-89.4309587
University of Wisconsin–Milwaukee,Milwaukee,Horizon League,43.077639,-87.8819425
University of Wyoming,Laramie,Mountain West Conference,41.314986,-105.5643222
Utah State University,Logan,Mountain West Conference,41.7526959,-111.808733
Utah Tech University,St. George,Western Athletic Conference,37.1030099,-113.5653354
Utah Valley University,Orem,Western Athletic Conference,40.2794106,-111.7178868
Valparaiso University,Valparaiso,Missouri Valley Conference,41.4629628,-87.044689
Vanderbilt University,Nashville,Southeastern Conference,36.1438011,-86.8028189
Villanova University,Villanova,Big East Conference,40.0367774,-75.3420233
Virginia Commonwealth University,Richmond,Atlantic 10 Conference,37.5461247,-77.4540609
Virginia Military Institute,Lexington,Southern Conference,37.7913339,-79.4355152
Virginia Polytechnic Institute and State University,Blacksburg,Atlantic Coast Conference,37.2219268,-80.4272818
Wagner College,Staten Island,Northeast Conference,40.6147187,-74.0935587
Wake Forest University,Winston-Salem,Atlantic Coast Conference,36.133893,-80.2755578
Washington State University,Pullman,Pac-12 Conference,46.7337716,-117.1498035
Weber State University,Ogden,Big Sky Conference,41.1920906,-111.9391269
Western Carolina University,Cullowhee,Southern Conference,35.3100146,-83.1990402
Western Illinois University,Macomb,Ohio Valley Conference,40.4771468,-90.6862024
Western Kentucky University,Bowling Green,Conference USA,36.984529,-86.457647
Western Michigan University,Kalamazoo,Mid-American Conference,42.2832928,-85.6102812
West Virginia University,Morgantown,Big 12 Conference,39.6348398,-79.9542095
Wichita State University,Wichita,American Conference,37.719343,-97.2898878
William Marsh Rice University,Houston,American Conference,,
Winthrop University,Rock Hill,Big South Conference,34.9391204,-81.0324911
Wofford College,Spartanburg,Southern Conference,34.9611582,-81.9353216
Wright State University,Dayton,Horizon League,39.7842039,-84.0567799
Xavier University,Cincinnati,Big East Conference,39.1513078,-84.4708348
Yale University,New Haven,Ivy League,41.2571306,-72.9896696
Youngstown State University,Youngstown,Horizon League,41.1067218,-80.6477542
